package_num_channel	acc_x	acc_y	acc_z	gyr_x	gyr_y	gyr_z	mag_x	mag_y	mag_z	timestamp_channel	marker_channel
51603.000000	0.037000	0.064000	0.999000	-0.885000	-0.153000	-0.305000	5.000000	-3.000000	55.000000	1722982915.152978	0.000000
51603.000000	0.036000	0.068000	1.000000	-0.885000	-0.183000	-0.305000	4.000000	-4.000000	56.000000	1722982915.152979	0.000000
51618.000000	0.034000	0.065000	1.001000	-0.854000	-0.183000	-0.305000	5.000000	-4.000000	56.000000	1722982915.189662	0.000000
51618.000000	0.034000	0.066000	1.001000	-0.885000	-0.153000	-0.275000	4.000000	-4.000000	55.000000	1722982915.189662	0.000000
51618.000000	0.034000	0.067000	1.002000	-0.885000	-0.153000	-0.305000	3.000000	-3.000000	54.000000	1722982915.189663	0.000000
51637.000000	0.035000	0.062000	0.999000	-0.854000	-0.183000	-0.336000	4.000000	-4.000000	55.000000	1722982915.355371	0.000000
51637.000000	0.034000	0.066000	0.998000	-0.885000	-0.183000	-0.275000	4.000000	-5.000000	56.000000	1722982915.355372	0.000000
51637.000000	0.035000	0.063000	0.999000	-0.885000	-0.183000	-0.275000	4.000000	-4.000000	56.000000	1722982915.355372	0.000000
51654.000000	0.035000	0.067000	1.001000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	56.000000	1722982915.464743	0.000000
51654.000000	0.036000	0.068000	1.000000	-0.854000	-0.183000	-0.275000	5.000000	-5.000000	54.000000	1722982915.464745	0.000000
51670.000000	0.034000	0.067000	1.000000	-0.885000	-0.183000	-0.305000	3.000000	-5.000000	55.000000	1722982915.555102	0.000000
51670.000000	0.035000	0.067000	1.000000	-0.885000	-0.183000	-0.275000	5.000000	-4.000000	56.000000	1722982915.555103	0.000000
51670.000000	0.034000	0.065000	1.001000	-0.854000	-0.183000	-0.305000	5.000000	-4.000000	56.000000	1722982915.555103	0.000000
51688.000000	0.038000	0.066000	0.998000	-0.885000	-0.214000	-0.275000	3.000000	-4.000000	55.000000	1722982915.669351	0.000000
51688.000000	0.035000	0.065000	1.000000	-0.885000	-0.183000	-0.275000	4.000000	-3.000000	54.000000	1722982915.669351	0.000000
51702.000000	0.034000	0.068000	1.001000	-0.854000	-0.153000	-0.275000	4.000000	-4.000000	56.000000	1722982915.763727	0.000000
51702.000000	0.036000	0.064000	1.001000	-0.854000	-0.183000	-0.305000	5.000000	-4.000000	55.000000	1722982915.763728	0.000000
51702.000000	0.036000	0.067000	1.001000	-0.885000	-0.183000	-0.305000	4.000000	-5.000000	55.000000	1722982915.763729	0.000000
51719.000000	0.036000	0.067000	1.001000	-0.885000	-0.183000	-0.305000	4.000000	-5.000000	55.000000	1722982915.876858	0.000000
51719.000000	0.034000	0.064000	1.000000	-0.946000	-0.183000	-0.305000	4.000000	-4.000000	56.000000	1722982915.876858	0.000000
51719.000000	0.036000	0.066000	0.998000	-0.854000	-0.183000	-0.305000	3.000000	-5.000000	56.000000	1722982915.876859	0.000000
51735.000000	0.038000	0.063000	0.999000	-0.793000	-0.183000	-0.336000	3.000000	-3.000000	55.000000	1722982915.976635	0.000000
51735.000000	0.035000	0.065000	1.000000	-0.885000	-0.183000	-0.305000	3.000000	-4.000000	55.000000	1722982915.976635	0.000000
51768.000000	0.036000	0.066000	1.001000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	55.000000	1722982916.136262	0.000000
51768.000000	0.036000	0.064000	1.003000	-0.885000	-0.183000	-0.275000	5.000000	-4.000000	55.000000	1722982916.136263	0.000000
51768.000000	0.036000	0.066000	1.000000	-0.854000	-0.183000	-0.275000	5.000000	-4.000000	55.000000	1722982916.136263	0.000000
51784.000000	0.037000	0.066000	1.002000	-0.824000	-0.214000	-0.275000	3.000000	-4.000000	56.000000	1722982916.279587	0.000000
51784.000000	0.037000	0.066000	1.002000	-0.885000	-0.214000	-0.305000	3.000000	-4.000000	57.000000	1722982916.279588	0.000000
51784.000000	0.035000	0.066000	1.002000	-0.854000	-0.183000	-0.336000	4.000000	-4.000000	56.000000	1722982916.279588	0.000000
51801.000000	0.035000	0.067000	1.001000	-0.854000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982916.382623	0.000000
51801.000000	0.037000	0.066000	1.000000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	55.000000	1722982916.382623	0.000000
51818.000000	0.038000	0.066000	1.000000	-0.916000	-0.214000	-0.305000	5.000000	-4.000000	55.000000	1722982916.485018	0.000000
51818.000000	0.035000	0.064000	1.001000	-0.854000	-0.183000	-0.275000	4.000000	-4.000000	55.000000	1722982916.485019	0.000000
51818.000000	0.037000	0.066000	1.000000	-0.854000	-0.214000	-0.244000	4.000000	-4.000000	56.000000	1722982916.485019	0.000000
51834.000000	0.036000	0.065000	1.003000	-0.854000	-0.183000	-0.244000	4.000000	-4.000000	56.000000	1722982916.584978	0.000000
51834.000000	0.035000	0.065000	1.000000	-0.854000	-0.183000	-0.305000	3.000000	-4.000000	56.000000	1722982916.584979	0.000000
51852.000000	0.036000	0.064000	1.000000	-0.885000	-0.183000	-0.275000	4.000000	-4.000000	54.000000	1722982916.685839	0.000000
51852.000000	0.037000	0.068000	1.000000	-0.854000	-0.214000	-0.305000	4.000000	-4.000000	56.000000	1722982916.685840	0.000000
51852.000000	0.035000	0.068000	0.998000	-0.885000	-0.183000	-0.305000	4.000000	-4.000000	55.000000	1722982916.685841	0.000000
